Date,USDTRY,WACF_RATE,CPI_INDEX,CPI_YOY,USDTRY_CHG_1M
2019-05-06,5.9571,21.07,409.63,19.50230468522085,6.403386560925939
2019-05-07,5.9602,21.07,409.63,19.50230468522085,7.257643650236645
2019-05-08,5.9915,21.07,409.63,19.50230468522085,6.8632172222519605
2019-05-09,6.1475,21.07,409.63,19.50230468522085,9.209287452701131
2019-05-10,6.1607,21.07,409.63,19.50230468522085,10.163975466266129
2019-05-13,6.2026,21.73,409.63,19.50230468522085,9.44927740819821
2019-05-14,6.1129,21.73,409.63,19.50230468522085,8.047582013574651
2019-05-15,6.0827,21.73,409.63,19.50230468522085,7.227598850635508
2019-05-16,6.0438,21.73,409.63,19.50230468522085,5.823644768174829
2019-05-17,6.0529,21.73,409.63,19.50230468522085,4.672557801718913
2019-05-20,5.9999,22.04,409.63,19.50230468522085,3.7111940814492206
2019-05-21,6.0463,22.04,409.63,19.50230468522085,4.44102812132936
2019-05-22,6.04,22.04,409.63,19.50230468522085,5.177007331046379
2019-05-23,6.0425,22.04,409.63,19.50230468522085,4.012462560677532
2019-05-24,6.0762,22.04,409.63,19.50230468522085,4.904956751437317
2019-05-27,6.1252,22.49,409.63,19.50230468522085,5.148232709045031
2019-05-28,6.0656,22.49,409.63,19.50230468522085,3.5120652581999368
2019-05-29,6.046,22.49,409.63,19.50230468522085,2.601523919425741
2019-05-30,6.0392,22.49,409.63,19.50230468522085,1.9566795536271941
2019-05-31,6.0152,22.49,409.63,19.50230468522085,1.467561823150354
2019-06-03,5.9235,22.41,413.52,18.71160360567261,-0.5506774339774645
2019-06-07,5.8613,22.41,413.52,18.71160360567261,-1.6081650467509312
2019-06-10,5.8613,21.68,413.52,18.71160360567261,-1.65934029059428
2019-06-11,5.8354,21.68,413.52,18.71160360567261,-2.605357589919055
2019-06-12,5.807,21.68,413.52,18.71160360567261,-5.538836925579494
2019-06-13,5.7791,21.68,413.52,18.71160360567261,-6.194101319655243
2019-06-14,5.7997,21.68,413.52,18.71160360567261,-6.495663109018812
2019-06-17,5.8264,22.27,413.52,18.71160360567261,-4.6868098611133835
2019-06-18,5.8826,22.27,413.52,18.71160360567261,-3.2896575533891137
2019-06-19,5.8704,22.27,413.52,18.71160360567261,-2.869055891988481
2019-06-20,5.841,22.27,413.52,18.71160360567261,-3.5008012688132917
2019-06-21,5.8518,22.27,413.52,18.71160360567261,-2.468374472907886
2019-06-24,5.7311,22.39,413.52,18.71160360567261,-5.213105535616824
2019-06-25,5.7915,22.39,413.52,18.71160360567261,-4.114238410596027
2019-06-26,5.7444,22.39,413.52,18.71160360567261,-4.933388498138203
2019-06-27,5.7904,22.39,413.52,18.71160360567261,-4.70359764326388
2019-06-28,5.763,22.39,413.52,18.71160360567261,-5.913276301182013
2019-07-01,5.7665,22.34,413.63,15.720120859444942,-4.93108678448958
2019-07-02,5.7551,22.34,413.63,15.720120859444942,-4.81144558385711
2019-07-03,5.6792,22.34,413.63,15.720120859444942,-5.961054444297265
2019-07-04,5.6669,22.34,413.63,15.720120859444942,-5.790331161058648
2019-07-05,5.6292,22.34,413.63,15.720120859444942,-4.968346416814384
2019-07-08,5.5934,21.45,413.63,15.720120859444942,-4.570658386364801
2019-07-09,5.6007,21.45,413.63,15.720120859444942,-4.4461126371282855
2019-07-10,5.7227,21.45,413.63,15.720120859444942,-1.9313157624156085
2019-07-11,5.7122,21.45,413.63,15.720120859444942,-1.6325124849319805
2019-07-12,5.7381,21.45,413.63,15.720120859444942,-0.7094530290183476
2019-07-16,5.6665,21.39,413.63,15.720120859444942,-2.2966705174405466
2019-07-17,5.6916,21.39,413.63,15.720120859444942,-2.3136070300700196
2019-07-18,5.7027,21.39,413.63,15.720120859444942,-3.058171556794609
2019-07-19,5.6929,21.39,413.63,15.720120859444942,-3.0236440446988366
2019-07-22,5.6912,21.28,413.63,15.720120859444942,-2.564629344290359
2019-07-23,5.6316,21.28,413.63,15.720120859444942,-3.762944734953355
2019-07-24,5.6684,21.28,413.63,15.720120859444942,-1.094030814328828
2019-07-25,5.6784,21.28,413.63,15.720120859444942,-1.9528619528619617
2019-07-26,5.7135,21.28,413.63,15.720120859444942,-0.5379151869646992
2019-07-29,5.6991,19.53,413.63,15.720120859444942,-1.5767477203647462
2019-07-30,5.6564,19.53,413.63,15.720120859444942,-1.8497310428596259
2019-07-31,5.6272,19.53,413.63,15.720120859444942,-2.415676753663387
2019-08-01,5.5709,19.53,419.24,16.646726579672233,-3.2006394328508603
2019-08-02,5.5227,19.53,419.24,16.646726579672233,-2.7556698126496637
2019-08-05,5.5815,18.47,419.24,16.646726579672233,-1.5069967707212029
2019-08-06,5.5809,18.47,419.24,16.646726579672233,-0.8580260072479251
2019-08-07,5.556,18.47,419.24,16.646726579672233,-0.6686451889727163
2019-08-08,5.5315,18.47,419.24,16.646726579672233,-1.2355598407341795
2019-08-09,5.4858,18.47,419.24,16.646726579672233,-4.139654358956424
2019-08-15,5.4744,18.09,419.24,16.646726579672233,-4.163019502118271
2019-08-16,5.4809,18.09,419.24,16.646726579672233,-4.482319931684708
2019-08-19,5.5714,17.84,419.24,16.646726579672233,-1.6782846554310504
2019-08-20,5.5398,17.84,419.24,16.646726579672233,-2.6670883407126422
2019-08-21,5.5775,17.84,419.24,16.646726579672233,-2.195451277465066
2019-08-22,5.7046,17.84,419.24,16.646726579672233,0.2055191554392266
2019-08-23,5.7096,17.84,419.24,16.646726579672233,0.3233061568737705
2019-08-26,5.7478,17.21,419.24,16.646726579672233,2.0633567724980484
2019-08-27,5.7538,17.21,419.24,16.646726579672233,1.5065979817938002
2019-08-28,5.8029,17.21,419.24,16.646726579672233,2.1925190194421074
2019-08-29,5.8257,17.21,419.24,16.646726579672233,1.9637700183775308
2019-09-02,5.7994,16.79,422.84,15.008431703204028,1.7599270060185024
2019-09-03,5.814,16.79,422.84,15.008431703204028,2.7862244537161462
2019-09-04,5.8044,16.79,422.84,15.008431703204028,3.1489906170031334
2019-09-05,5.7726,16.79,422.84,15.008431703204028,3.620599903067734
2019-09-06,5.6656,16.79,422.84,15.008431703204028,2.587502489724236
2019-09-09,5.6746,16.14,422.84,15.008431703204028,1.6680103914718192
2019-09-10,5.6932,16.14,422.84,15.008431703204028,2.0122202512139697
2019-09-11,5.7215,16.14,422.84,15.008431703204028,2.978761699064081
2019-09-12,5.7568,16.14,422.84,15.008431703204028,4.07303624694928
2019-09-13,5.7711,16.14,422.84,15.008431703204028,5.2006999890626515
2019-09-16,5.7283,15.08,422.84,15.008431703204028,4.637951190998102
2019-09-17,5.6665,15.08,422.84,15.008431703204028,3.3863051688591383
2019-09-18,5.7125,15.08,422.84,15.008431703204028,2.5325770901389433
2019-09-19,5.7227,15.08,422.84,15.008431703204028,3.3015632333297296
2019-09-20,5.6785,15.08,422.84,15.008431703204028,1.8108471537427118
2019-09-23,5.6917,14.65,422.84,15.008431703204028,-0.2261332959366147
2019-09-24,5.6889,14.65,422.84,15.008431703204028,-0.3625472887767933
2019-09-25,5.7183,14.65,422.84,15.008431703204028,-0.5132398482897704
2019-09-26,5.6743,14.65,422.84,15.008431703204028,-1.3816955750982074
2019-09-27,5.6882,14.65,422.84,15.008431703204028,-1.9765979079425788
2019-09-30,5.6659,14.42,422.84,15.008431703204028,-2.7430180064198395
2019-10-01,5.6591,14.42,427.04,9.262102138982709,-2.419215780942874
2019-10-02,5.6437,14.42,427.04,9.262102138982709,-2.9291365669074643
2019-10-03,5.6752,14.42,427.04,9.262102138982709,-2.2258975949279836
2019-10-04,5.728,14.42,427.04,9.262102138982709,-0.7726154592384682
2019-10-07,5.6854,13.63,427.04,9.262102138982709,0.3494775487150381
2019-10-08,5.6894,13.63,427.04,9.262102138982709,0.2608113347196239
2019-10-09,5.7343,13.63,427.04,9.262102138982709,0.7219138621513466
2019-10-10,5.816,13.63,427.04,9.262102138982709,1.6516647732238043
2019-10-11,5.8276,13.63,427.04,9.262102138982709,1.2298499166203403
2019-10-14,5.8704,13.52,427.04,9.262102138982709,1.720642511826176
2019-10-15,5.8417,13.52,427.04,9.262102138982709,1.979644920831669
2019-10-16,5.9103,13.52,427.04,9.262102138982709,4.3024794846907355
2019-10-17,5.8881,13.52,427.04,9.262102138982709,3.073960612691451
2019-10-18,5.8915,13.52,427.04,9.262102138982709,2.949656630611419
2019-10-21,5.8806,13.44,427.04,9.262102138982709,3.5590384784714324
2019-10-22,5.769,13.44,427.04,9.262102138982709,1.3581179612418115
2019-10-23,5.8124,13.44,427.04,9.262102138982709,2.170894197472273
2019-10-24,5.8303,13.44,427.04,9.262102138982709,1.9586240665932175
2019-10-25,5.7712,13.44,427.04,9.262102138982709,1.707699628147985
2019-10-28,5.7417,12.5,427.04,9.262102138982709,0.9405435814493046
2019-10-30,5.7584,12.5,427.04,9.262102138982709,1.6325738188107897
2019-10-31,5.7584,12.5,427.04,9.262102138982709,1.7546959763920178
2019-11-01,5.7363,12.5,435.59,8.552844718020292,1.640767581551117
2019-11-04,5.7083,11.95,435.59,8.552844718020292,0.5832393572032801
2019-11-05,5.7188,11.95,435.59,8.552844718020292,-0.16061452513965735
2019-11-06,5.6832,11.95,435.59,8.552844718020292,-0.038695606289784745
2019-11-07,5.7282,11.95,435.59,8.552844718020292,0.6819699792596889
2019-11-08,5.748,11.95,435.59,8.552844718020292,0.23891320649425118
2019-11-11,5.7366,11.62,435.59,8.552844718020292,-1.3651994497936637
2019-11-12,5.7429,11.62,435.59,8.552844718020292,-1.453428512595245
2019-11-13,5.7704,11.62,435.59,8.552844718020292,-1.7034614336331355
2019-11-14,5.7665,11.62,435.59,8.552844718020292,-1.2872965061540453
2019-11-15,5.7573,11.62,435.59,8.552844718020292,-2.5887010811634026
2019-11-18,5.757,11.41,435.59,8.552844718020292,-2.2265246853823806
2019-11-19,5.747,11.41,435.59,8.552844718020292,-2.4526860731562405
2019-11-20,5.7303,11.41,435.59,8.552844718020292,-2.555861646770752
2019-11-21,5.7153,11.41,435.59,8.552844718020292,-0.9308372334893456
2019-11-22,5.6964,11.41,435.59,8.552844718020292,-1.9957332599270572
2019-11-25,5.6896,11.29,435.59,8.552844718020292,-2.4132548925441144
2019-11-26,5.6919,11.29,435.59,8.552844718020292,-1.374064319378987
2019-11-27,5.7191,11.29,435.59,8.552844718020292,-0.39361164811815286
2019-11-28,5.7383,11.29,435.59,8.552844718020292,-0.3490552931369906
