tech_weight,macro_weight,risk_aversion,tilt_strength,max_weight,sharpe,excess_sharpe,ann_return,ann_vol,calmar,max_dd
0.4,0.6,2.0,0.3,0.2,1.982,0.254,0.5234866231777966,0.30570883836894486,1.7123699333351512,-0.33152919984765816
0.4,0.6,2.0,0.3,0.25,1.868,0.14000000000000012,0.5249134367555829,0.321373513604118,1.6333438025704705,-0.3786887465247958
0.4,0.6,2.0,0.3,0.3,1.767,0.038999999999999924,0.5150676876988375,0.3287867257478909,1.566570811297851,-0.41489568371188057
0.4,0.6,2.0,0.4,0.1,1.728,0.0,0.43726854782676394,0.28068286128609093,1.5578740569452523,-0.3239783380723743
0.4,0.6,2.0,0.4,0.15,1.935,0.20700000000000007,0.49322527084420065,0.291865833048656,1.6899041100229661,-0.3181394712220746
0.4,0.6,2.0,0.4,0.2,1.973,0.2450000000000001,0.5213836403925843,0.30543092378221315,1.7070427379657072,-0.33820872429908655
0.4,0.6,2.0,0.4,0.25,1.838,0.1100000000000001,0.5193824488056027,0.32181602017026206,1.6139111052669624,-0.3853863936953559
0.4,0.6,2.0,0.4,0.3,1.765,0.03699999999999992,0.5150492695740245,0.3290351159130625,1.565332223415663,-0.4150693383190067
0.4,0.6,2.0,0.5,0.1,1.728,0.0,0.43726854782758606,0.28068286129767855,1.5578740568838665,-0.32397833807359305
0.4,0.6,2.0,0.5,0.15,1.93,0.20199999999999996,0.4921735403289109,0.2918751529471888,1.6862467920246833,-0.3181394713285147
0.4,0.6,2.0,0.5,0.2,1.948,0.21999999999999997,0.5161218770431972,0.30518304018218495,1.691187939982144,-0.3448427370295495
0.4,0.6,2.0,0.5,0.25,1.804,0.07600000000000007,0.5127544261051097,0.3219679015369265,1.5925638042098487,-0.39613707911715446
0.4,0.6,2.0,0.5,0.3,1.768,0.040000000000000036,0.5142302879426448,0.3280984850277422,1.567304670422859,-0.4152148744234336
0.4,0.6,3.0,0.0,0.1,1.728,0.0,0.43726854734980775,0.28068286124432273,1.5578740554778074,-0.323978338058994
0.4,0.6,3.0,0.0,0.15,1.91,0.18199999999999994,0.4867218017044365,0.2907497123366029,1.6740233302138419,-0.30984211490752056
0.4,0.6,3.0,0.0,0.2,2.057,0.32899999999999996,0.5353199027140517,0.3042093596244492,1.7597088510850283,-0.31731394623096554
0.4,0.6,3.0,0.0,0.25,1.916,0.18799999999999994,0.5272479515740487,0.31650948709188426,1.665820372142545,-0.3443553770195949
0.4,0.6,3.0,0.0,0.3,1.88,0.1519999999999999,0.5322928400955096,0.3247658856226875,1.6390047836302812,-0.3755274935463536
0.4,0.6,3.0,0.1,0.1,1.728,0.0,0.4372685472915928,0.28068286125153413,1.5578740552303774,-0.3239783380593799
0.4,0.6,3.0,0.1,0.15,1.904,0.17599999999999993,0.4857228530497116,0.29087741716387566,1.6698541185686586,-0.3120536202370668
0.4,0.6,3.0,0.1,0.2,2.053,0.32499999999999996,0.5352418144290068,0.30459422756146637,1.757229014857139,-0.31864448284450636
0.4,0.6,3.0,0.1,0.25,1.916,0.18799999999999994,0.5291707682657155,0.3177967763704668,1.6651231466515652,-0.3532389042062705
0.4,0.6,3.0,0.1,0.3,1.862,0.13400000000000012,0.5295857720433694,0.32535465989580037,1.6277184172280708,-0.3843461741649014
0.4,0.6,3.0,0.2,0.1,1.728,0.0,0.4372685472977178,0.28068286125504016,1.5578740552327395,-0.3239783380599115
0.4,0.6,3.0,0.2,0.15,1.902,0.17399999999999993,0.48584597014939657,0.29114067727766374,1.6687670534132901,-0.314430113628639
0.4,0.6,3.0,0.2,0.2,2.038,0.30999999999999983,0.5327873669064711,0.3047953407507594,1.748016769528468,-0.31997580728897074
0.4,0.6,3.0,0.2,0.25,1.917,0.18900000000000006,0.5308626872588312,0.3188501746495495,1.6649283251681017,-0.3605359449246917
0.4,0.6,3.0,0.2,0.3,1.841,0.11299999999999999,0.5262025718112775,0.3260304284659015,1.6139676725490404,-0.39306025847076514
0.4,0.6,3.0,0.3,0.1,1.728,0.0,0.4372685473802018,0.2806828612545845,1.5578740555291375,-0.32397833806058346
0.4,0.6,3.0,0.3,0.15,1.906,0.17799999999999994,0.48702008031197164,0.2913949266544553,1.6713402868866498,-0.3168036819579107
0.4,0.6,3.0,0.3,0.2,2.007,0.27900000000000014,0.5268982763341032,0.3048213776476508,1.728547651087502,-0.3253286872669971
0.4,0.6,3.0,0.3,0.25,1.906,0.17799999999999994,0.5293245413535536,0.31925104897306883,1.6580197404400885,-0.36464226887988344
0.4,0.6,3.0,0.3,0.3,1.829,0.10099999999999998,0.5242370845878351,0.3263105784199863,1.6065586568667796,-0.40167032048465007
0.4,0.6,3.0,0.4,0.1,1.728,0.0,0.4372685475766442,0.2806828612584741,1.5578740562074225,-0.3239783380614423
0.4,0.6,3.0,0.4,0.15,1.904,0.17599999999999993,0.4869708596955557,0.2916314991433862,1.6698157130692084,-0.3181394751044861
0.4,0.6,3.0,0.4,0.2,1.989,0.2610000000000001,0.5231740256285433,0.3046594633727389,1.7172419981205718,-0.3322063517319849
0.4,0.6,3.0,0.4,0.25,1.885,0.15700000000000003,0.5247772862684617,0.3190288968711032,1.644920856434164,-0.3687516906174534
0.4,0.6,3.0,0.4,0.3,1.824,0.09600000000000009,0.523175406973515,0.32627610326883294,1.6034744859707,-0.40710229476608745
0.4,0.6,3.0,0.5,0.1,1.728,0.0,0.437268547855206,0.2806828612836545,1.5578740570601068,-0.32397833806259213
0.4,0.6,3.0,0.5,0.15,1.903,0.17500000000000004,0.4865658635462873,0.2915490452883514,1.6688988402107712,-0.3181394718268044
0.4,0.6,3.0,0.5,0.2,1.965,0.2370000000000001,0.5182730522821976,0.304487211191439,1.702117636580624,-0.3387604652747814
0.4,0.6,3.0,0.5,0.25,1.86,0.13200000000000012,0.519092195502963,0.31851862523321467,1.6297075096405786,-0.3737110967079439
0.4,0.6,3.0,0.5,0.3,1.809,0.08099999999999996,0.519069066745367,0.32554104834498127,1.5944811549396403,-0.4094415479071511
0.4,0.6,5.0,0.0,0.1,1.728,0.0,0.4372685470880147,0.2806828612638216,1.5578740544368825,-0.3239783380520284
0.4,0.6,5.0,0.0,0.15,1.864,0.13600000000000012,0.47755040315106884,0.2903663549544256,1.6446478560714195,-0.3105387665391838
0.4,0.6,5.0,0.0,0.2,2.05,0.32199999999999984,0.5313134371273656,0.3025037887826697,1.7563860580572148,-0.31358487806281093
0.4,0.6,5.0,0.0,0.25,1.975,0.2470000000000001,0.5351755946193753,0.31418134047942237,1.7033971330147377,-0.33416705416859477
0.4,0.6,5.0,0.0,0.3,1.911,0.18300000000000005,0.5326463715441925,0.3207470945484363,1.6606428572457639,-0.37032256643187733
0.4,0.6,5.0,0.1,0.1,1.728,0.0,0.4372685471354099,0.28068286124712793,1.557874054698394,-0.32397833805233833
0.4,0.6,5.0,0.1,0.15,1.865,0.137,0.47790911849093487,0.29051520345167425,1.6450399593990015,-0.3111559093571638
0.4,0.6,5.0,0.1,0.2,2.043,0.31500000000000017,0.5303017164032776,0.30266379307140595,1.7521148169783434,-0.31438301357332454
0.4,0.6,5.0,0.1,0.25,1.973,0.2450000000000001,0.5355479006952747,0.3146390156012403,1.7021026450642238,-0.3395408307871995
0.4,0.6,5.0,0.1,0.3,1.904,0.17599999999999993,0.5318634878909123,0.3211801035321245,1.6559664874686586,-0.3737918351041334
0.4,0.6,5.0,0.2,0.1,1.728,0.0,0.4372685472981431,0.28068286125175085,1.5578740552525114,-0.32397833805294024
0.4,0.6,5.0,0.2,0.15,1.864,0.13600000000000012,0.4777970590500745,0.2906142922468023,1.6440934661407103,-0.31246387380571544
0.4,0.6,5.0,0.2,0.2,2.023,0.29500000000000015,0.5267389867232781,0.30278692078539476,1.7396358645775625,-0.31518124895375244
0.4,0.6,5.0,0.2,0.25,1.964,0.236,0.5340030909546707,0.31485309230870456,1.6960388955973655,-0.34489631033087936
0.4,0.6,5.0,0.2,0.3,1.893,0.16500000000000004,0.5300228590342564,0.32147059469382694,1.6487444506053734,-0.3774836792527677
0.4,0.6,5.0,0.3,0.1,1.728,0.0,0.43726854731996745,0.2806828612610986,1.5578740552783832,-0.32397833805374787
0.4,0.6,5.0,0.3,0.15,1.866,0.13800000000000012,0.4781923293546016,0.29063951944637756,1.6453107625056722,-0.31377118222723
0.4,0.6,5.0,0.3,0.2,2.003,0.27500000000000013,0.5229858708884946,0.3027815752927345,1.72727112071751,-0.31794537815913204
0.4,0.6,5.0,0.3,0.25,1.951,0.2230000000000001,0.5315307243859251,0.31483877455814435,1.6882632233970982,-0.3504568012482927
0.4,0.6,5.0,0.3,0.3,1.881,0.15300000000000002,0.5274671989011696,0.3213131450039963,1.64159856856964,-0.38179093757578886
0.4,0.6,5.0,0.4,0.1,1.728,0.0,0.4372685472510418,0.2806828612735671,1.557874054963615,-0.3239783380546948
0.4,0.6,5.0,0.4,0.15,1.867,0.139,0.4787175880173985,0.29079597117705214,1.6462318445461874,-0.31507782755183306
0.4,0.6,5.0,0.4,0.2,1.987,0.2590000000000001,0.5197860653994516,0.3026585267022697,1.717401029678486,-0.32139483473407027
0.4,0.6,5.0,0.4,0.25,1.936,0.20799999999999996,0.5284180484209919,0.3147827272133312,1.6786754886422914,-0.35403907168981835
0.4,0.6,5.0,0.4,0.3,1.868,0.14000000000000012,0.5242037484523342,0.3209763399826483,1.6331538595046358,-0.38739220689631804
0.4,0.6,5.0,0.5,0.1,1.728,0.0,0.43726854733795745,0.2806828612764614,1.5578740552572086,-0.3239783380554027
0.4,0.6,5.0,0.5,0.15,1.871,0.14300000000000002,0.47967573346175346,0.2909810086095656,1.6484778018807953,-0.31638381474559296
0.4,0.6,5.0,0.5,0.2,1.973,0.2450000000000001,0.5169570811622525,0.30257836975498315,1.7085063997828573,-0.3248343826836768
0.4,0.6,5.0,0.5,0.25,1.912,0.18399999999999994,0.5232173985598962,0.3144854971766461,1.6637250469645846,-0.35612997638989713
0.4,0.6,5.0,0.5,0.3,1.85,0.12200000000000011,0.5202619203404328,0.3207833493162657,1.6218482706454251,-0.3923715905056809
0.4,0.6,7.0,0.0,0.1,1.728,0.0,0.43726854679234795,0.28068286126756453,1.5578740533627242,-0.32397833805588694
0.4,0.6,7.0,0.0,0.15,1.871,0.14300000000000002,0.47845289633721055,0.29019856610392025,1.6487086850934898,-0.3110969107566523
0.4,0.6,7.0,0.0,0.2,2.013,0.2849999999999999,0.521313324851523,0.3005426526888835,1.7345735129022684,-0.311986410812661
0.4,0.6,7.0,0.0,0.25,1.959,0.2310000000000001,0.5274349214476121,0.3112070145459607,1.694804091151736,-0.32978681135801463
0.4,0.6,7.0,0.0,0.3,1.912,0.18399999999999994,0.527573729291552,0.31735387144949534,1.6624146631074317,-0.370775736064436
0.4,0.6,7.0,0.1,0.1,1.728,0.0,0.4372685467897341,0.2806828612662582,1.5578740533606623,-0.3239783380560551
0.4,0.6,7.0,0.1,0.15,1.867,0.139,0.4777495443691236,0.2902069365717429,1.6462375090438879,-0.3110122721928047
0.4,0.6,7.0,0.1,0.2,2.001,0.2729999999999999,0.5194672697594391,0.30075926597807523,1.7271862533316173,-0.3125564272706559
0.4,0.6,7.0,0.1,0.25,1.951,0.2230000000000001,0.5261436198001832,0.3113374177386152,1.6899466296785104,-0.3338609931154649
0.4,0.6,7.0,0.1,0.3,1.902,0.17399999999999993,0.5259137057369463,0.31749748280119205,1.6564342529488922,-0.3733956555257762
0.4,0.6,7.0,0.2,0.1,1.728,0.0,0.43726854697077133,0.28068286127720726,1.5578740539448803,-0.32397833805570664
