,returns
2019-02-11,0.017714040250697533
2019-02-12,-0.008459464611705476
2019-02-13,-0.019876988411706497
2019-02-14,0.004871519654915274
2019-02-15,-0.0017661884624079228
2019-02-18,-0.005296548059182405
2019-02-19,0.00017635154065971095
2019-02-20,0.0009137558476558773
2019-02-21,0.004846114043985119
2019-02-22,0.017171021862849547
2019-02-25,0.010768341062497595
2019-02-26,0.011843732806078165
2019-02-27,-0.011567073631799691
2019-02-28,-0.0059181500710339145
2019-03-01,-0.01650789698321797
2019-03-04,-0.0029013602586130207
2019-03-05,-0.01539483685410372
2019-03-06,0.011367976870589418
2019-03-07,-0.009777648542780341
2019-03-08,-0.00671034060148825
2019-03-11,-0.010459031756729057
2019-03-12,0.011898799087948518
2019-03-13,-0.004564858226107754
2019-03-14,-0.0021861693877937077
2019-03-15,0.014085083230897931
2019-03-18,0.00864259968569665
2019-03-19,0.006983853290380321
2019-03-20,-0.021813630493757185
2019-03-21,-0.02239077058137351
2019-03-22,-0.014750659421709906
2019-03-25,0.013522059607255405
2019-03-26,-0.01683564892938905
2019-03-27,-0.07615633575238606
2019-03-28,0.04228619371977731
2019-03-29,0.008935889739063245
2019-04-01,-0.004776165382552649
2019-04-02,0.015022808557319519
2019-04-03,-0.002080306038576295
2019-04-04,0.024652639918119255
2019-04-05,0.02796402571826903
2019-04-08,-0.013593655830609199
2019-04-09,0.008734385850929302
2019-04-10,-0.0011996031350214504
2019-04-11,0.00664081556136329
2019-04-12,-0.014809828894930276
2019-04-15,-0.012080980446687517
2019-04-16,0.009274024648905104
2019-04-17,0.013546176384404023
2019-04-18,-0.006345276833245376
2019-04-19,0.0029099891205891047
2019-04-22,-0.004392842346553789
2019-04-24,-0.0015777382784941257
2019-04-25,-0.026872848641617084
2019-04-26,0.010598827335303401
2019-04-29,0.017363096465336292
2019-04-30,0.009118945349253567
2019-05-02,-0.01979349832293562
2019-05-03,0.010290902735486211
2019-05-06,-0.009471528117264613
2019-05-07,-0.01341394893441261
2019-05-08,-0.006387246126312104
2019-05-09,-0.015828948816023657
2019-05-10,0.0014680508870030112
2019-05-13,-0.03647220576239235
2019-05-14,0.026476343766116253
2019-05-15,-0.008345877068598021
2019-05-16,-0.008614201152287951
2019-05-17,-0.012626670839560664
2019-05-20,0.008610220361360957
2019-05-21,-0.019994127099877
2019-05-22,-0.02378959861447284
2019-05-23,0.012107728822832316
2019-05-24,0.020072910685969857
2019-05-27,-0.003935112412655067
2019-05-28,0.02432053902073968
2019-05-29,-0.003731184545038909
2019-05-30,0.03233258263582316
2019-05-31,0.0015151476307856426
2019-06-03,-0.00514867128675455
2019-06-07,0.044460957239952095
2019-06-10,0.0012400454492116828
2019-06-11,-0.009704018786162708
2019-06-12,-0.003676185957051244
2019-06-13,-0.02246681160496749
2019-06-14,0.0053542980953493234
2019-06-17,0.016683186651290118
2019-06-18,0.014610300120294583
2019-06-19,0.011112002114425918
2019-06-20,-0.004772160186713674
2019-06-21,0.0016178730794150476
2019-06-24,0.01040483726850153
2019-06-25,0.0021665439073721288
2019-06-26,-0.007713121825290549
2019-06-27,0.013639585840452315
2019-06-28,0.01616248887601972
2019-07-01,0.030112997661328654
2019-07-02,0.00773028256353668
2019-07-03,-0.005760649555815411
2019-07-04,0.0021499326531298217
2019-07-05,0.001676327255500327
2019-07-08,-0.010051032107335238
2019-07-09,-0.01458567614495451
2019-07-10,0.011794078460855641
2019-07-11,0.0003948998195358968
2019-07-12,-0.024628685137820083
2019-07-16,0.010630367352945164
2019-07-17,0.025397617044216572
2019-07-18,0.01861547138375732
2019-07-19,-0.001776071428245
2019-07-22,-0.006562049053799219
2019-07-23,0.012261332610011458
2019-07-24,0.009986042498817961
2019-07-25,-0.01740724348520819
2019-07-26,0.005315138320544693
2019-07-29,-0.0011453354906327832
2019-07-30,-0.004562510425172397
2019-07-31,-0.004437662399708645
2019-08-01,-0.00735240213430616
2019-08-02,-0.01844730546868945
2019-08-05,-0.011633492505141386
2019-08-06,0.007965410784797013
2019-08-07,-0.010507023666826255
2019-08-08,0.005190311189989505
2019-08-09,0.0052948975748689725
2019-08-15,-0.015478972516464268
2019-08-16,-0.007095891413310457
2019-08-19,-0.012789874991723515
2019-08-20,0.000578599387472008
2019-08-21,-0.007496164420926842
2019-08-22,-0.010247961686284493
2019-08-23,0.030722924297805584
2019-08-26,-0.006249662713799209
2019-08-27,-0.009615687474741551
2019-08-28,-0.004589552781030197
2019-08-29,0.004029913825303676
2019-09-02,0.017778407980405607
2019-09-03,0.01083413324434832
2019-09-04,0.011531532967626233
2019-09-05,0.011651152664870212
2019-09-06,-0.014848710299385118
2019-09-09,0.013007550135282287
2019-09-10,-0.0034624535687195397
2019-09-11,0.015034672838890456
2019-09-12,0.0019940970875290476
2019-09-13,0.0062609322867487344
2019-09-16,-0.001603461419519619
2019-09-17,-0.010399936058460957
2019-09-18,0.008728160998070564
2019-09-19,-0.015509250736457335
2019-09-20,-0.004035575171233201
2019-09-23,0.0012742015707198921
2019-09-24,0.022435935179947384
2019-09-25,0.002984752805982097
2019-09-26,-0.006631088537777389
2019-09-27,0.037307579418297473
2019-09-30,-0.005197895947341465
2019-10-01,-0.009071873810855877
2019-10-02,-0.002783482150546948
2019-10-03,-0.0019600608437143957
2019-10-04,0.009392493965370393
2019-10-07,-0.012643463111721527
2019-10-08,-0.0039040514234659693
2019-10-09,-0.02210110961752121
2019-10-10,-0.013929621578832114
2019-10-11,-0.0006719867975683016
2019-10-14,-0.05161787780405523
2019-10-15,0.02239758935842455
2019-10-16,-0.015656595214689168
2019-10-17,0.02010869015849298
2019-10-18,0.039552127368958565
2019-10-21,-0.012772309934975603
2019-10-22,0.0023599364232422034
2019-10-23,0.016107011885932398
2019-10-24,0.019465590585219766
2019-10-25,-0.005175812196672589
2019-10-28,-0.010282682521983836
2019-10-30,-0.008466280892442926
2019-10-31,0.0018792357824484194
2019-11-01,0.004332080203666872
2019-11-04,0.02655077417776754
2019-11-05,0.005235145829150185
2019-11-06,0.0005233909119650939
2019-11-07,0.020421184508017463
2019-11-08,-0.01025193747854342
2019-11-11,-0.010274559110038621
2019-11-12,0.0018812979386851904
2019-11-13,0.01947659362278917
2019-11-14,-0.013403852971215257
2019-11-15,0.027134240800509208
2019-11-18,0.020224963208306898
2019-11-19,0.0024581127296178762
2019-11-20,-0.01080431833137617
2019-11-21,0.0028466029573452354
2019-11-22,-0.016111268577822063
2019-11-25,-0.012197352324925363
2019-11-26,0.00505438626598408
2019-11-27,-0.006900924030044389
2019-11-28,0.00931837533344551
2019-11-29,-0.0008221188843047262
2019-12-02,0.009484908463258643
2019-12-03,-0.011673562494091643
2019-12-04,0.006956113465964687
2019-12-05,0.022719409449464427
2019-12-06,-0.004051233745521913
2019-12-09,-0.0005811911781475621
2019-12-10,-0.004010321097348494
2019-12-11,-0.0030596225353651993
2019-12-12,0.022872162955077963
2019-12-13,0.019196736921172464
2019-12-16,0.00795038490738087
2019-12-17,-0.004386092131131884
2019-12-18,0.0010134860571947694
2019-12-19,0.00321605565316272
2019-12-20,0.0021513081155093345
2019-12-23,0.0045018653030502
2019-12-24,0.007107226431485243
2019-12-25,0.0034293973936702677
2019-12-26,0.007692137817809818
2019-12-27,-0.0026778447494953833
2019-12-30,0.005254092071810624
2019-12-31,0.0041180664679230025
2020-01-02,0.0010136908361013538
2020-01-03,-0.023851813541500316
2020-01-06,-0.01465371436076124
2020-01-07,0.017357621446113154
2020-01-08,0.01042645750588959
2020-01-09,0.03981052214678586
2020-01-10,-0.004763828885925121
2020-01-13,0.01764685977045892
2020-01-14,0.0141796326297653
2020-01-15,-0.00010544853339552324
2020-01-16,-0.0015882909086905985
2020-01-17,0.014259385393388961
2020-01-20,0.0130354429089812
2020-01-21,0.005284352566116868
2020-01-22,-0.01670507426182822
2020-01-23,-0.009127862577998412
2020-01-24,-0.010688650955770306
2020-01-27,-0.012817540838089683
2020-01-28,0.0032860902411903526
2020-01-29,-0.0002809863522203475
2020-01-30,-0.004799680088761908
2020-01-31,-0.005432789537858762
2020-02-03,-0.011995913242542731
2020-02-04,0.03058806189038598
2020-02-05,0.002490071374074804
2020-02-06,-0.0010271906117913562
2020-02-07,-0.01273821306544797
2020-02-10,-0.01739397353906537
2020-02-11,0.01599698648761933
2020-02-12,0.0035993912033123977
2020-02-13,0.01192390318613324
2020-02-14,-0.007507082064079747
2020-02-17,0.0017453629825788027
2020-02-18,-0.016682178199185185
2020-02-19,-0.0007380661548959261
2020-02-20,-0.020506815112118083
2020-02-21,0.006677173072791795
2020-02-24,-0.023855327347196434
2020-02-25,0.00584476110820681
2020-02-26,0.01458602254032633
2020-02-27,-0.04131124010506196
2020-02-28,-0.02690352007154771
2020-03-02,0.012972818512821487
2020-03-03,0.019169237584361235
2020-03-04,-0.000879281892371752
2020-03-05,0.017936017181932974
2020-03-06,-0.0016298564867102394
2020-03-09,-0.052122314574839776
2020-03-10,-0.013943855682779522
2020-03-11,-0.0034891553766823033
2020-03-12,-0.05382078108837736
2020-03-13,-0.007478266925742945
2020-03-16,-0.09289254641896032
2020-03-17,-0.03028203791718658
2020-03-18,-0.010966772588645748
2020-03-19,-0.0010185792308596408
